Level	Rule Name	Subject	Property	Value
WARN	missing_definition	chromosome 1 (Mouse)	IAO:0000115	
WARN	missing_definition	chromosome 10 (Mouse)	IAO:0000115	
WARN	missing_definition	10cen (Mouse)	IAO:0000115	
WARN	missing_definition	10p (Mouse)	IAO:0000115	
WARN	missing_definition	10q (Mouse)	IAO:0000115	
WARN	missing_definition	chromosome 11 (Mouse)	IAO:0000115	
WARN	missing_definition	11cen (Mouse)	IAO:0000115	
WARN	missing_definition	11p (Mouse)	IAO:0000115	
WARN	missing_definition	11q (Mouse)	IAO:0000115	
WARN	missing_definition	chromosome 12 (Mouse)	IAO:0000115	
WARN	missing_definition	12cen (Mouse)	IAO:0000115	
WARN	missing_definition	12p (Mouse)	IAO:0000115	
WARN	missing_definition	12q (Mouse)	IAO:0000115	
WARN	missing_definition	chromosome 13 (Mouse)	IAO:0000115	
WARN	missing_definition	13cen (Mouse)	IAO:0000115	
WARN	missing_definition	13p (Mouse)	IAO:0000115	
WARN	missing_definition	13q (Mouse)	IAO:0000115	
WARN	missing_definition	chromosome 14 (Mouse)	IAO:0000115	
WARN	missing_definition	14cen (Mouse)	IAO:0000115	
WARN	missing_definition	14p (Mouse)	IAO:0000115	
WARN	missing_definition	14q (Mouse)	IAO:0000115	
WARN	missing_definition	chromosome 15 (Mouse)	IAO:0000115	
WARN	missing_definition	15cen (Mouse)	IAO:0000115	
WARN	missing_definition	15p (Mouse)	IAO:0000115	
WARN	missing_definition	15q (Mouse)	IAO:0000115	
WARN	missing_definition	chromosome 16 (Mouse)	IAO:0000115	
WARN	missing_definition	16cen (Mouse)	IAO:0000115	
WARN	missing_definition	16p (Mouse)	IAO:0000115	
WARN	missing_definition	16q (Mouse)	IAO:0000115	
WARN	missing_definition	chromosome 17 (Mouse)	IAO:0000115	
WARN	missing_definition	17cen (Mouse)	IAO:0000115	
WARN	missing_definition	17p (Mouse)	IAO:0000115	
WARN	missing_definition	17q (Mouse)	IAO:0000115	
WARN	missing_definition	chromosome 18 (Mouse)	IAO:0000115	
WARN	missing_definition	18cen (Mouse)	IAO:0000115	
WARN	missing_definition	18p (Mouse)	IAO:0000115	
