?cls	?xref
<http://purl.obolibrary.org/obo/GO_0031965>	"NIF_Subcellular:sao1687101204"
<http://purl.obolibrary.org/obo/GO_0005622>	"Wikipedia:Intracellular"
<http://purl.obolibrary.org/obo/GO_0043226>	"Wikipedia:Organelle"
<http://purl.obolibrary.org/obo/GO_0043226>	"NIF_Subcellular:sao1539965131"
<http://purl.obolibrary.org/obo/GO_0005739>	"NIF_Subcellular:sao1860313010"
<http://purl.obolibrary.org/obo/GO_0005739>	"Wikipedia:Mitochondrion"
<http://purl.obolibrary.org/obo/GO_0030849>	"Wikipedia:Autosome"
<http://purl.obolibrary.org/obo/GO_0000807>	"Wikipedia:ZW_sex-determination_system"
<http://purl.obolibrary.org/obo/GO_0016020>	"Wikipedia:Transmembrane_protein"
<http://purl.obolibrary.org/obo/GO_0016020>	"Wikipedia:Biological_membrane"
<http://purl.obolibrary.org/obo/GO_0005635>	"Wikipedia:Nuclear_envelope"
<http://purl.obolibrary.org/obo/GO_0000262>	"NIF_Subcellular:sao1186327184"
<http://purl.obolibrary.org/obo/GO_0005886>	"NIF_Subcellular:sao1663586795"
<http://purl.obolibrary.org/obo/GO_0005886>	"Wikipedia:Cell_membrane"
<http://purl.obolibrary.org/obo/GO_0005829>	"Wikipedia:Cytosol"
<http://purl.obolibrary.org/obo/GO_0005829>	"NIF_Subcellular:sao101633890"
<http://purl.obolibrary.org/obo/GO_0031090>	"NIF_Subcellular:sao830981606"
<http://purl.obolibrary.org/obo/GO_0000805>	"Wikipedia:X_chromosome"
<http://purl.obolibrary.org/obo/GO_0009295>	"Wikipedia:Nucleoid"
<http://purl.obolibrary.org/obo/GO_0000806>	"Wikipedia:Y_chromosome"
<http://purl.obolibrary.org/obo/GO_0005575>	"NIF_Subcellular:sao1337158144"
<http://purl.obolibrary.org/obo/GO_0031966>	"NIF_Subcellular:sao1045389829"
<http://purl.obolibrary.org/obo/GO_0005737>	"Wikipedia:Cytoplasm"
<http://purl.obolibrary.org/obo/GO_0012505>	"Wikipedia:Endomembrane_system"
<http://purl.obolibrary.org/obo/GO_0005634>	"NIF_Subcellular:sao1702920020"
<http://purl.obolibrary.org/obo/GO_0005634>	"Wikipedia:Cell_nucleus"
<http://purl.obolibrary.org/obo/GO_0043228>	"NIF_Subcellular:sao1456184038"
<http://purl.obolibrary.org/obo/GO_0005938>	"Wikipedia:Cell_cortex"
<http://purl.obolibrary.org/obo/GO_0005759>	"Wikipedia:Mitochondrial_matrix"
<http://purl.obolibrary.org/obo/GO_0005759>	"NIF_Subcellular:sao1804523077"
<http://purl.obolibrary.org/obo/GO_0000804>	"Wikipedia:ZW_sex-determination_system"
<http://purl.obolibrary.org/obo/GO_0009507>	"Wikipedia:Chloroplast"
<http://purl.obolibrary.org/obo/GO_0005694>	"Wikipedia:Chromosome"
<http://purl.obolibrary.org/obo/GO_0009536>	"Wikipedia:Plastid"
<http://purl.obolibrary.org/obo/GO_0043227>	"NIF_Subcellular:sao414196390"
<http://purl.obolibrary.org/obo/GO_0005773>	"Wikipedia:Vacuole"
<http://purl.obolibrary.org/obo/GO_0016301>	"Reactome:R-HSA-6788855"
<http://purl.obolibrary.org/obo/GO_0016301>	"Reactome:R-HSA-6788867"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"MA:0000001"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"TAO:0100000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"AAO:0010841"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"HAO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"ZFA:0100000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"FMA:62955"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"WBbt:0000100"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"UMLS:C1515976"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"TGMA:0001822"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"BFO:0000004"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"BILA:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"AEO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"NCIT:C12219"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"XAO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"EHDAA2:0002229"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"CARO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"BIRNLEX:6"
<http://purl.obolibrary.org/obo/GO_0008150>	"Wikipedia:Biological_process"
<http://purl.obolibrary.org/obo/NCBITaxon_33317>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_33511>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_33213>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_6237>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_186626>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9005>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_2301116>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9479>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_89593>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_10090>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_8287>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_314146>	"PMID:11214319"
<http://purl.obolibrary.org/obo/NCBITaxon_314146>	"PMID:12082125"
<http://purl.obolibrary.org/obo/NCBITaxon_314146>	"PMID:12878460"
<http://purl.obolibrary.org/obo/NCBITaxon_314146>	"GC_ID:1"
